fips,acs_population,median_income,median_gross_rent,housing_units,vacancy_rate,renter_share,unemployment_rate
48047,6943.0,47764.0,719.0,3884.0,0.2335221421215242,0.47195162915686933,0.199438202247191
48049,38347.0,57470.0,919.0,19246.0,0.22207211888184558,0.3171920919048891,0.05266119050298188
48051,18857.0,70000.0,1063.0,9579.0,0.17527925670738073,0.1827848101265823,0.049573621375781696
48053,52652.0,78732.0,1319.0,25555.0,0.1794560751320681,0.23696885879154944,0.026263102108114476
48055,48669.0,69758.0,1173.0,17582.0,0.05317938801046525,0.24689133177149036,0.034117286383742826
48057,19868.0,79959.0,891.0,10833.0,0.1996676820825256,0.22733564013840832,0.07374015374394989
48059,14241.0,72436.0,817.0,6539.0,0.1988071570576541,0.19068524527581598,0.04716705607476635
48061,426120.0,52601.0,912.0,159679.0,0.13305444047119533,0.34785780847052367,0.059125310844415614
48063,12798.0,58843.0,801.0,5824.0,0.17290521978021978,0.2250363296657671,0.05680041688379364
48065,5801.0,85231.0,956.0,2810.0,0.18398576512455517,0.2080244221543829,0.011788480970023578
48067,28568.0,53813.0,852.0,13993.0,0.1563638962338312,0.23413807708598053,0.06388415672913117
48069,7344.0,56776.0,896.0,3024.0,0.20205026455026456,0.3642768338168255,0.03743161531816873
48071,51498.0,109804.0,1609.0,18937.0,0.09019380049638274,0.18439839804979977,0.07270152248318187
48073,51886.0,61261.0,933.0,21053.0,0.1362276160167197,0.26021446246906793,0.05204616026324327
48075,6743.0,58654.0,913.0,2772.0,0.33694083694083693,0.28998911860718174,0.005462348809988295
48077,10495.0,80114.0,811.0,5163.0,0.1692814255277939,0.16017719748193052,0.01951779563719862
48079,2550.0,45313.0,697.0,1268.0,0.27287066246056785,0.35357917570498915,0.04808548530721282
48081,3353.0,43333.0,729.0,2144.0,0.25652985074626866,0.28858218318695106,0.05578800557880056
48083,7833.0,49159.0,653.0,4899.0,0.3176158399673403,0.22823810948250076,0.07672112018669779
48085,1163337.0,121600.0,1859.0,437396.0,0.047439848558285855,0.3548167989132261,0.04169384962000956
48087,2588.0,61280.0,714.0,1487.0,0.34431741761936785,0.26153846153846155,0.011146496815286623
48089,21006.0,66377.0,926.0,10102.0,0.21431399722827163,0.20486329847549453,0.028755682418860343
48091,183826.0,101889.0,1603.0,77961.0,0.08474750195610625,0.2338621520867786,0.03939722463139636
48093,13950.0,59635.0,855.0,6940.0,0.22838616714697407,0.19551820728291316,0.062066932035972286
48095,3328.0,65795.0,733.0,1414.0,0.4243281471004243,0.19533169533169534,0.01529051987767584
48097,43046.0,73932.0,1047.0,17944.0,0.07891217119928667,0.2816432720232333,0.044796691936595454
48099,84748.0,71301.0,1186.0,29512.0,0.08559230143670371,0.41440005929000223,0.07088101322075326
48101,1368.0,59063.0,264.0,930.0,0.3795698924731183,0.1681109185441941,0.1259600614439324
48103,4610.0,62212.0,882.0,1840.0,0.11304347826086956,0.16237745098039216,0.04567969179966978
48105,2822.0,81022.0,558.0,1729.0,0.291497975708502,0.26285714285714284,0.030107526881720432
48107,5041.0,52188.0,684.0,2659.0,0.2745393004889056,0.3115603939865215,0.08246128087065718
48109,2195.0,58777.0,1043.0,1097.0,0.20875113947128532,0.29838709677419356,0.012004801920768308
48111,7298.0,71500.0,1081.0,3052.0,0.1526867627785059,0.36040216550657383,0.023424878836833602
48113,2621179.0,76547.0,1565.0,1064965.0,0.07721192715253553,0.49232500658874145,0.049950759501704696
48115,12134.0,54360.0,777.0,4903.0,0.1754028146033041,0.29359386594113285,0.06392132759680394
48117,18460.0,60799.0,926.0,6984.0,0.13359106529209622,0.33184597587175674,0.03452641270571988
48119,5438.0,66575.0,945.0,2450.0,0.11306122448979591,0.17165209387942937,0.04281098546042003
48121,979561.0,111498.0,1728.0,376754.0,0.04342886870477818,0.345371151412906,0.04016276980670191
48123,20016.0,63730.0,921.0,9238.0,0.25081186403983546,0.2608004623609305,0.03722829350306233
48125,1747.0,49335.0,758.0,1151.0,0.368375325803649,0.20495185694635487,0.09240506329113925
48127,8380.0,38808.0,823.0,4023.0,0.25478498632861046,0.33455637091394264,0.08417169684775319
48129,3257.0,58750.0,780.0,1951.0,0.39518195797027167,0.25169491525423726,0.016783216783216783
48131,9742.0,49038.0,741.0,4420.0,0.3092760180995475,0.2961021945627252,0.10980061780398764
48133,18011.0,53549.0,866.0,9384.0,0.2289002557544757,0.2841348811498065,0.04693359138744405
48135,164654.0,71536.0,1259.0,68899.0,0.06293269858778792,0.35329832876415285,0.05882940222139024
48137,1290.0,40313.0,713.0,815.0,0.5042944785276073,0.12128712871287128,0.0
48139,213160.0,99595.0,1594.0,75422.0,0.048566731192490255,0.24206022937889324,0.04455072411750983
48141,870779.0,59806.0,1079.0,323571.0,0.07396830989180118,0.35770282041269935,0.0600263374238801
48143,43794.0,65115.0,1146.0,18694.0,0.10046004065475554,0.36851807802093245,0.056926664027099554
48145,17291.0,57247.0,731.0,7450.0,0.14845637583892618,0.2353404791929382,0.05957385128279461
48147,37326.0,72295.0,1035.0,14814.0,0.1381800999054948,0.21273595989660846,0.04990768864272527
48149,25042.0,75854.0,988.0,13233.0,0.21385929116602434,0.20628664808228395,0.022697962342017024
48151,3655.0,65533.0,601.0,2016.0,0.22420634920634921,0.1956521739130435,0.046635182998819365
48153,5216.0,58462.0,676.0,2592.0,0.24691358024691357,0.26741803278688525,0.06044407894736842
48155,991.0,61563.0,572.0,623.0,0.2985553772070626,0.2402745995423341,0.06261510128913444
48157,893767.0,114041.0,1807.0,305633.0,0.04227292209938063,0.2304031594087041,0.05052495742402163
48159,10632.0,72360.0,936.0,5121.0,0.2390158172231986,0.1796253528355145,0.04389850986709625
48161,20049.0,59960.0,853.0,9123.0,0.22284336292886112,0.24569816643159378,0.03042647994907702
48163,18582.0,66010.0,1016.0,6393.0,0.14953855779759112,0.4105205076328858,0.05566418980576196
48165,22232.0,74132.0,789.0,7719.0,0.1023448633242648,0.25371626497330063,0.024337943604588828
48167,358990.0,86105.0,1404.0,161868.0,0.1310203375589987,0.32363145172757,0.05696974400478952
48169,5118.0,46314.0,838.0,2190.0,0.3319634703196347,0.29460013670539986,0.11470281543274244
48171,27524.0,76162.0,1340.0,14373.0,0.1989842064982954,0.2509337270911144,0.027234246465937226
48173,1068.0,101250.0,648.0,513.0,0.10331384015594541,0.31521739130434784,0.0078125
48175,7141.0,59359.0,754.0,3547.0,0.20749929517902452,0.13162575595873355,0.052488994243142566
48177,19851.0,58672.0,840.0,9020.0,0.12128603104212861,0.3378753469593742,0.043130815544608646
48179,21045.0,59614.0,933.0,9952.0,0.1970458199356913,0.23626579902390188,0.05566057550934678
48181,143337.0,72182.0,1310.0,62132.0,0.11079636902079444,0.3321930205618303,0.031154767473175433
48183,125480.0,66550.0,1102.0,53883.0,0.10404023532468497,0.3966692213683535,0.03603542922574344
48185,31340.0,69803.0,1069.0,12349.0,0.169568386104138,0.2007801072647489,0.05063291139240506
48187,183642.0,92375.0,1517.0,69700.0,0.06134863701578192,0.22176876987038396,0.04763260167496853
48189,32131.0,51897.0,836.0,13392.0,0.1768219832735962,0.39459361393323655,0.052769177846577225
48191,2820.0,48459.0,529.0,1739.0,0.32777458309373203,0.2643284858853721,0.0904
48193,8406.0,58219.0,885.0,4372.0,0.28636779505946935,0.21314102564102563,0.05433306166802499
48195,5119.0,69441.0,939.0,2275.0,0.1832967032967033,0.1883745963401507,0.06199770378874857
48197,3501.0,63333.0,684.0,1808.0,0.3196902654867257,0.26097560975609757,0.024130190796857465
48199,57642.0,75808.0,1049.0,25100.0,0.1146613545816733,0.17676176761767617,0.05434079933072213
48201,4838303.0,74983.0,1401.0,1917790.0,0.08375578139420896,0.45284731533311634,0.06731451639546218
48203,70155.0,66103.0,974.0,29756.0,0.11658152977550747,0.2313691178148895,0.055615196516967856
48205,5215.0,75841.0,1028.0,1814.0,0.09977949283351709,0.2559706062461727,0.016477272727272726
48207,5421.0,60653.0,782.0,3081.0,0.31093800714053876,0.2633066415449835,0.04880774962742176
48209,268638.0,89097.0,1495.0,104675.0,0.04610460950561261,0.35861150337008885,0.04429338590170621
48211,3234.0,61563.0,836.0,1763.0,0.16279069767441862,0.28929539295392953,0.05860349127182045
48213,84862.0,65179.0,1048.0,41852.0,0.19776832648380005,0.221861504095309,0.04906096348639136
48215,891977.0,54338.0,957.0,308556.0,0.12427565822735581,0.3254468746530476,0.07610963804383639
48217,37328.0,64591.0,946.0,16434.0,0.16228550565899963,0.21791239921551536,0.04193183845833581
48219,21363.0,63140.0,850.0,9233.0,0.14274883569803964,0.2779532533164877,0.0465946267472985
48221,65894.0,88160.0,1428.0,29066.0,0.12189499759168788,0.18833992869176822,0.056314049045607835
48223,37784.0,70888.0,1109.0,15882.0,0.11837300088150107,0.28888730181402655,0.040057145997032806
48225,22051.0,56531.0,887.0,10837.0,0.2633570176248039,0.29362395089565324,0.06712074303405573
48227,32290.0,69649.0,1034.0,14048.0,0.13218963553530752,0.30489705520465915,0.0537016264722378
48229,3403.0,48600.0,705.0,1133.0,0.25684024713150927,0.26365795724465557,0.08022130013831259
48231,108972.0,71938.0,1222.0,43022.0,0.10589930733113291,0.2867727343628139,0.0591705873425406
48233,20184.0,67228.0,932.0,10170.0,0.31170108161258603,0.1672857142857143,0.035979747926316925
48235,1409.0,70357.0,1950.0,771.0,0.23735408560311283,0.1717687074829932,0.004341534008683068
48237,8882.0,68079.0,960.0,3811.0,0.21647861453686695,0.27796383121232415,0.09580318379160636
48239,15152.0,65414.0,1065.0,7029.0,0.14241001564945227,0.2924684804246848,0.05284117016388421
48241,32727.0,56723.0,848.0,16727.0,0.17229628743946912,0.20975081256771397,0.1326097894055919
48243,1865.0,59286.0,1241.0,1531.0,0.3690398432397126,0.12008281573498965,0.0
48245,253878.0,60026.0,1117.0,109884.0,0.13720832878308034,0.3749828599154071,0.0631300835001533
