fips,year,rent,rent_months,log_rent,d_log_rent,gross_inflow,gross_outflow,nonmigrant_exemptions,net_migration,irs_population_base,population_lag,net_mig_share,gross_inflow_share
04003,2024,1192.4972761772667,12,7.083804938631809,0.03350073568754475,,,,,,,,
04003,2025,1232.5840105695922,12,7.116868066327821,0.033063127696011385,,,,,,,,
04003,2026,1236.7627294128183,4,7.1202525426870045,0.003384476359183708,,,,,,,,
04005,2018,1376.2255576566386,11,7.227099927775009,,,,,,,,,
04005,2019,1406.3291192752788,12,7.2487381269658036,0.021638199190794793,,,,,,,,
04005,2020,1474.999295963508,12,7.296412791460931,0.04767466449512714,8250.0,9000.0,95434.0,-750.0,104434.0,104434.0,-0.007181569220751863,0.07899726142827049
04005,2021,1664.900209461426,12,7.417520466361013,0.1211076749000819,7865.0,8636.0,90677.0,-771.0,99313.0,99313.0,-0.007763334105303435,0.07919406321428211
04005,2022,1924.6417000886395,12,7.562495099573495,0.14497463321248283,7633.0,8391.0,92446.0,-758.0,100837.0,100837.0,-0.00751708202346361,0.07569642095659332
04005,2023,1989.1385457000117,12,7.595456932385882,0.032961832812386405,7128.0,8397.0,94029.0,-1269.0,102426.0,102426.0,-0.01238943237068713,0.06959170523109366
04005,2024,2026.3821851234252,12,7.614007307256907,0.018550374871025177,,,,,,,,
04005,2025,2062.4224539376714,12,7.631636519411184,0.017629212154276708,,,,,,,,
04005,2026,2066.0968926892247,4,7.633416547267786,0.001780027856602473,,,,,,,,
04007,2025,1877.8866423568143,10,7.537902297114052,,,,,,,,,
04007,2026,1894.9630102737488,4,7.546954597681556,0.009052300567503835,,,,,,,,
04009,2026,1829.281399729751,4,7.5116784909740675,,,,,,,,,
04013,2015,952.8150172198939,12,6.859420779062869,,,,,,,,,
04013,2016,1003.8569945631917,12,6.911604854412715,0.052184075349845926,,,,,,,,
04013,2017,1064.1186535586598,12,6.969902180186587,0.05829732577387148,,,,,,,,
04013,2018,1138.5544192358354,12,7.037514683426748,0.0676125032401611,,,,,,,,
04013,2019,1229.298046182277,12,7.114198591297817,0.07668390787106905,,,,,,,,
04013,2020,1318.1731995358166,12,7.184002117305747,0.06980352600792994,179762.0,139753.0,3347906.0,40009.0,3487659.0,3487659.0,0.011471591689439823,0.051542309612264275
04013,2021,1551.7993827280504,12,7.347170428681738,0.16316831137599141,173959.0,151233.0,3233421.0,22726.0,3384654.0,3384654.0,0.00671442339453309,0.05139639088663125
04013,2022,1738.0897788940422,12,7.46054196093195,0.11337153225021179,162037.0,154875.0,3333868.0,7162.0,3488743.0,3488743.0,0.0020528883898871314,0.04644566825358016
04013,2023,1740.3510168797777,12,7.461842105701993,0.0013001447700426993,149222.0,144612.0,3407447.0,4610.0,3552059.0,3552059.0,0.0012978388027901563,0.042010000396952865
04013,2024,1743.205664427018,12,7.463481033066972,0.0016389273649792813,,,,,,,,
04013,2025,1736.664966599196,12,7.459721867153217,-0.003759165913755247,,,,,,,,
04013,2026,1725.7818884301928,4,7.453435495425438,-0.0062863717277785724,,,,,,,,
04015,2015,754.2175401777877,12,6.62568084122021,,,,,,,,,
04015,2016,792.9940479300676,12,6.675815715843839,0.05013487462362942,,,,,,,,
04015,2017,844.6271338179595,12,6.738895268218663,0.06307955237482332,,,,,,,,
04015,2018,901.3394441843288,12,6.803881928262068,0.06498666004340503,,,,,,,,
04015,2019,975.9667102224589,12,6.88342847745276,0.0795465491906926,,,,,,,,
04015,2020,1053.7080563735624,12,6.960070704370656,0.07664222691789568,14611.0,9594.0,135375.0,5017.0,144969.0,144969.0,0.03460739882319668,0.10078706482075478
04015,2021,1236.6988113037671,12,7.120200859563566,0.16013015519290974,14859.0,9725.0,133811.0,5134.0,143536.0,143536.0,0.03576803031991974,0.10352106788540853
04015,2022,1370.3967107644996,12,7.222855546805993,0.10265468724242766,14038.0,9813.0,138905.0,4225.0,148718.0,148718.0,0.028409472962250704,0.09439341572640837
